"VarName";"TimeString";"VarValue";"Validity";"Time_ms";"Checksum"
"CT313_PV_OUT";"02.07.2023 13:17:50";0;1;45109554048,8079;f2KYt9
"CT313_PV_OUT";"02.07.2023 13:18:20";0;1;45109554398,0324;b92gEf
"CT313_PV_OUT";"02.07.2023 13:18:50";0;1;45109554746,0995;mhhrj7
"CT313_PV_OUT";"02.07.2023 13:19:20";0;1;45109555092,1759;pcVXO4
"CT313_PV_OUT";"02.07.2023 13:19:50";0;1;45109555438,8657;lw6mFT
"CT313_PV_OUT";"02.07.2023 13:20:20";0;1;45109555783,9005;Qi6Ljk
"CT313_PV_OUT";"02.07.2023 13:20:50";0;1;45109556131,2847;hy1SBm
"CT313_PV_OUT";"02.07.2023 13:21:20";0;1;45109556477,5579;SsVg/s
"CT313_PV_OUT";"02.07.2023 13:21:50";0;1;45109556825,3588;bSykI9
"CT313_PV_OUT";"02.07.2023 13:22:20";0;1;45109557171,5856;d1xOL9
"CT313_PV_OUT";"02.07.2023 13:22:50";0;1;45109557519,0741;X3WU7O
"CT313_PV_OUT";"02.07.2023 13:23:20";0;1;45109557866,6435;AKNy4w
"CT313_PV_OUT";"02.07.2023 13:23:50";0;1;45109558214,6991;a/o5XX
"CT313_PV_OUT";"02.07.2023 13:24:20";0;1;45109558561,9792;7m7ULh
"CT313_PV_OUT";"02.07.2023 13:24:50";0;1;45109558908,5301;1DGxWn
"CT313_PV_OUT";"02.07.2023 13:25:20";0;1;45109559256,1458;SgCbY6
"CT313_PV_OUT";"02.07.2023 13:25:50";0;1;45109559602,8819;EjAIFw
"CT313_PV_OUT";"02.07.2023 13:26:20";0;1;45109559949,375;YzUEdM
"CT313_PV_OUT";"02.07.2023 13:26:50";0;1;45109560296,4236;zbzlHO
"CT313_PV_OUT";"02.07.2023 13:27:19";0;1;45109560641,4005;cGCFha
"CT313_PV_OUT";"02.07.2023 13:27:49";0;1;45109560988,7963;0ZMOyA
"CT313_PV_OUT";"02.07.2023 13:28:20";0;1;45109561339,2708;6l11Mm
"CT313_PV_OUT";"02.07.2023 13:28:50";0;1;45109561686,4699;Yd70Xs
"CT313_PV_OUT";"02.07.2023 13:29:20";0;1;45109562033,2523;Ibaxgn
"CT313_PV_OUT";"02.07.2023 13:29:50";0;1;45109562380,3588;YFwDAY
"CT313_PV_OUT";"02.07.2023 13:30:20";0;1;45109562727,8009;hEgJaz
"CT313_PV_OUT";"02.07.2023 13:30:50";0;1;45109563075,4977;8jcfN1
"CT313_PV_OUT";"02.07.2023 13:31:19";0;1;45109563418,1945;xWXLuJ
"CT313_PV_OUT";"02.07.2023 13:31:49";0;1;45109563766,0532;NnXDSM
"CT313_PV_OUT";"02.07.2023 13:32:19";0;1;45109564113,9468;ZazaHJ
"CT313_PV_OUT";"02.07.2023 13:32:49";0;1;45109564461,0764;ou+pf0
"CT313_PV_OUT";"02.07.2023 13:33:20";0;1;45109564809,2245;jyAnNf
"CT313_PV_OUT";"02.07.2023 13:33:49";0;1;45109565155,9606;NKJsyz
"CT313_PV_OUT";"02.07.2023 13:34:19";0;1;45109565502,257;IMM+fM
"CT313_PV_OUT";"02.07.2023 13:34:49";0;1;45109565848,8079;ZNVNoF
"CT313_PV_OUT";"02.07.2023 13:35:19";0;1;45109566196,7014;0p+Hzt
"CT313_PV_OUT";"02.07.2023 13:35:49";0;1;45109566543,6574;r3/mws
"CT313_PV_OUT";"02.07.2023 13:36:20";0;1;45109566899,4213;oy96aH
"CT313_PV_OUT";"02.07.2023 13:36:50";0;1;45109567246,3426;0GFWZQ
"CT313_PV_OUT";"02.07.2023 13:37:20";0;1;45109567595,8218;FJltvX
"CT313_PV_OUT";"02.07.2023 13:37:50";0;1;45109567942,662;ZB2/pp
"CT313_PV_OUT";"02.07.2023 13:38:20";0;1;45109568288,6921;niUmJs
"CT313_PV_OUT";"02.07.2023 13:38:50";0;1;45109568636,6204;7iREJS
"CT313_PV_OUT";"02.07.2023 13:39:20";0;1;45109568982,8935;JovzUM
"CT313_PV_OUT";"02.07.2023 13:39:50";0;1;45109569330,4861;80JbuC
"CT313_PV_OUT";"02.07.2023 13:40:20";0;1;45109569675,7986;YtpgxW
"CT313_PV_OUT";"02.07.2023 13:40:50";0;1;45109570022,6968;/Y+oha
"CT313_PV_OUT";"02.07.2023 13:41:20";0;1;45109570368,4606;jdWk1s
